address,available_from,balcony,closest_shop,contruction_year,dishwasher,dryer,elevator,floors,highway,kindergarten,parking_ext,parking_int,price,prim_school,public_transp,rooms,secon_school,sq_meters,tv,type,wash_m
1030 Bussigny,À convenir,True,500,1980,,,,EG,1000,500,,True,1'100'000,500,100,4,500,119,,Appartement,
1003 Lausanne,À convenir,,,Non disponible,,,,Non disponible,,,,,80'000,,,Non disponible,,Non disponible,,Local commercial,
1025 St-Sulpice VD,À convenir,,,Non disponible,,,,Non disponible,,,,,2'000'000,,,Non disponible,,Non disponible,,Terrain à bâtir,
1096 Cully,Immédiate,True,,1870,,,,Non disponible,,,True,,sur demande,,,11,,520,,Maison,
1003 Lausanne,À convenir,,,Non disponible,,,,Non disponible,,,,,110'000,,,Non disponible,,Non disponible,,Local commercial,
Région Vaud 1052 Le Mont-sur-Lausanne,Immédiate,,,Non disponible,,,,Non disponible,,,,,1'150'000,,,5.5,,120,,Maison mitoyenne,
1096 Cully,Immédiate,True,,1870,,,,Non disponible,,,True,,sur demande,,,11,,Non disponible,,Autre,
1004 Lausanne,À convenir,,,2012,,,True,1. étage,,,,,930'000,,,3.5,,99,,Appartement,
1030 Rancio Valcuvia,À convenir,True,,Non disponible,,,,Non disponible,,,True,True,sur demande,,,12,,1'000,True,Villa,
1003 Lausanne,À convenir,,,Non disponible,,,,Non disponible,,,,,sur demande,,,Non disponible,,Non disponible,,Immeuble,
1032 Romanel,01.09.2022,True,,1999,,,,Non disponible,,,True,True,1'150'000,,,5,,124,,Appartement,
1007 Lausanne,À convenir,True,,1930,,,True,1. étage,,,,,785'000,,,2.5,,55,,Appartement,
Chem. du Bois de l'Hôpital 1052 Le Mont,31.12.2023,True,,2023,,,,EG,,,True,True,1'695'000,,,4.5,,136,True,Appartement avec terrasse,
1003 Lausanne,À convenir,,,Non disponible,,,,Non disponible,,,,,sur demande,,,Non disponible,,Non disponible,,Immeuble,
1009 Pully,À convenir,,,2017,,,,EG,,,,True,1'850'000,,,3.5,,112,,Appartement,
1066 Epalinges,À convenir,,,1977,,,,Non disponible,,,True,True,1'600'000,,,5.5,,135,,Maison jumelée,
1012 LAUSANNE,À convenir,True,,Non disponible,,,,Non disponible,,,,,2'210'000,,,4.5,,132,,Appartement,
1052 Le Mont-sur-Lausanne,À convenir,,,2007,,,,Non disponible,,,True,True,1'890'000,,,4.5,,170,,Villa,
1009 Pully,À convenir,,,2017,,,,EG,,,,True,1'850'000,,,3.5,,89,,Appartement,
1121 Bremblens,15.08.2023,,,Non disponible,,,,Non disponible,,,,,sur demande,,,6.5,,147,,Maison jumelée,
1007 Lausanne,À convenir,True,,1930,,,True,1. étage,,,,,785'000,,,2.5,,Non disponible,,Appartement,
1025 St-Sulpice VD,À convenir,,651,1998,,,,2. étage,3199,385,,,2'400'000,385,69,7.5,946,212,,Duplex,
St-Sulpice VD 1025 St-Sulpice VD,Immédiate,True,1414,2014,,,True,1. étage,2750,451,True,True,1'640'000,515,177,4.5,2267,146,,Appartement,
Cheseaux-sur-Lausanne 1033 Cheseaux-sur-Lausanne,01.12.2022,,625,1984,,,,Non disponible,4310,606,True,True,1'590'000,606,208,6.5,1420,180,,Maison,
1095 Lutry,À convenir,,,1963,,,,Non disponible,,,True,True,3'650'000,,,7.5,,Non disponible,,Maison,
1023 Crissier,À convenir,,,Non disponible,,,,Non disponible,,,,,200'000,,,1,,Non disponible,,Local commercial,
1025 St-Sulpice VD,Immédiate,,,1982,,,,Non disponible,,,,,1'990'000,,,8,,187,,Maison,
1005 Lausanne,À convenir,,,Non disponible,True,True,,EG,,,,,990'000,,,3.5,,Non disponible,,Appartement,True
1005 Lausanne,Immédiate,,,Non disponible,,,,Non disponible,,,,,sur demande,,,Non disponible,,Non disponible,,Immeuble,
1090 La Croix,À convenir,True,,Non disponible,,,True,EG,,,True,True,1'620'000,,,3,,141,,Appartement avec terrasse,
Eden-Roc 6 1073 Savigny,À convenir,True,,1970,,,True,2. étage,,,,True,620'000,,,4.5,,110,,Appartement,True
1053 Cugy VD,À convenir,,,1972,,,,Non disponible,,,,True,765'000,,,3.5,,60,,Villa,
1030 Bussigny,À convenir,,,1799,,,,Non disponible,,,,,1'795'000,,,6.5,,224,,Maison,
1030 Bussigny,À convenir,,,1799,,,,Non disponible,,,,,1'750'000,,,6.5,,224,,Maison,
1030 Bussigny,À convenir,,,1799,,,,Non disponible,,,,,1'750'000,,,6.5,,207,,Maison,
1026 Echandens,01.06.2022,True,,2022,,,True,2. étage,,,,,595'000,,,2.5,,43,True,Appartement,
1025 St,À convenir,True,,Non disponible,,,,EG,,,True,,sur demande,,,5.5,,200,,Appartement,
1022 Chavannes-près-Renens,À convenir,,,Non disponible,,,,Non disponible,,,,,190'000,,,Non disponible,,Non disponible,,Local commercial,
1004 Lausanne,Immédiate,,,Non disponible,,,,Non disponible,,,,,295'000,,,Non disponible,,Non disponible,,Local commercial,
1008 Jouxtens-Mézery,À convenir,True,,2023,,,,EG,,,True,,1'520'000,,,4.5,,197,,Appartement,
1008 Jouxtens-Mézery,À convenir,True,,2023,,,,EG,,,True,,1'070'000,,,3.5,,132,,Appartement,
1008 Jouxtens-Mézery,À convenir,True,,2023,,,,EG,,,,True,710'000,,,1.5,,86,,Appartement,
1008 Jouxtens-Mézery,À convenir,True,,2023,,,,EG,,,True,,1'790'000,,,4.5,,229,,Appartement,
1008 Jouxtens-Mézery,À convenir,True,,2023,,,,Non disponible,,,True,,1'790'000,,,4.5,,229,,Maison jumelée,
1005 Lausanne,À convenir,,,2011,,,True,EG,,,True,,955'000,,,3.5,,76,,Appartement,
Bussigny 1030 Bussigny,À convenir,,,2020,,,,EG,,,True,,950'000,,,3.5,,77,,Appartement,
