address,available_from,balcony,closest_shop,contruction_year,dishwasher,dryer,elevator,floors,highway,kindergarten,parking_ext,parking_int,price,prim_school,public_transp,rooms,secon_school,sq_meters,tv,type,wash_m
.css-1y5nuta{box-sizing:border-box;margin-right:0.8rem;cursor:inherit;}6826 Riva San Vitale,sofort,,,nicht verfügbar,,,,nicht verfügbar,,,,,1'700,,,4.5,,200,True,WG-Zimmer,
6921 Vico Morcote,By arrangement,True,,2000,,,,not available,,,,,On request,,,4.5,,184,,Single-family house,
6921 Vico Morcote,Immediata,True,,1965,,,,non disponibile,,,,,2'400'000,,,5.5,,170,,Villa,
.css-1y5nuta{box-sizing:border-box;margin-right:0.8rem;cursor:inherit;}6833 Vacallo,01.01.2023,True,,nicht verfügbar,,,,2. Stock,,,,,996,,,1.5,,42,,Möblierte Wohnung,
6921 Vico Morcote,By arrangement,,,2000,,,,not available,,,,,1870000,,,5.5,,345,True,Villa,
.css-1y5nuta{box-sizing:border-box;margin-right:0.8rem;cursor:inherit;}6943 Vezia,nach Vereinbarung,,,nicht verfügbar,,,,2. Stock,,,,,1'600,,,3,,70,,Wohnung,
6921 Vico Morcote,By arrangement,True,,not available,,,,not available,,,,,On request,,,6.5,,452,,Villa,
.css-1y5nuta{box-sizing:border-box;margin-right:0.8rem;cursor:inherit;}6833 Vacallo,nach Vereinbarung,,,nicht verfügbar,,,,nicht verfügbar,,,,,4'300,,,6.5,,330,,Haus,
6921 Vico Morcote,Immediately,True,,1965,,,,not available,,,,,2400000,,,5.5,,170,,Villa,
6921 Vico Morcote,nach Vereinbarung,,,1970,,,,nicht verfügbar,,,,,3'950'000,,,10,,340,,Villa,
6921 Vico Morcote,Data da convenire,,,non disponibile,,,,EG,,,,,3'900'000,,,4.5,,200,,Villa,
lugano 6921 Vico Morcote,À convenir,True,,1989,,,True,Non disponible,,,True,True,4'500'000,,,7.5,,388,True,Villa,
6921 Vico Morcote,nach Vereinbarung,,,2000,,,,nicht verfügbar,,,,,auf Anfrage,,,4.5,,184,,Haus,
6921 Vico Morcote,À convenir,True,,1970,,,True,Non disponible,,,True,,3'950'000,,,10,,340,,Villa,
Via Pizzora 41 6921 Vico Morcote,Data da convenire,,,1984,,,,non disponibile,,,,,450'000,,,5,,152,,Casa,
6921 Vico Morcote,nach Vereinbarung,,,2000,,,,nicht verfügbar,,,,,1'870'000,,,5.5,,345,True,Villa,
6921 Vico Morcote,By arrangement,,,not available,,,,EG,,,,,3900000,,,4.5,,200,,Villa,
Riva Lago Olivella 6921 Vico Morcote,Data da convenire,,,non disponibile,,,,non disponibile,,,,,5'000'000,,,5.5,,300,,Villa,
6921 Vico Morcote,À convenir,,,2000,,,True,Non disponible,,,True,True,1'870'000,,,5.5,,345,True,Villa,
6921 Vico Morcote,nach Vereinbarung,,,nicht verfügbar,,,,nicht verfügbar,,,,,auf Anfrage,,,6.5,,452,,Villa,
6921 Vico Morcote,Data da convenire,,,non disponibile,,,,non disponibile,,,,,800'000,,,2.5,,70,,Appartamento,
6921 Vico Morcote,By arrangement,,,not available,,,,not available,,,,,800000,,,2.5,,70,,Apartment,
6921 Vico Morcote,sofort,,,1965,,,,nicht verfügbar,,,,,2'400'000,,,5.5,,170,,Villa,
6921 Vico Morcote,À convenir,True,,Non disponible,,,,Non disponible,,,True,True,sur demande,,,6.5,,452,,Villa,
6921 Vico Morcote,By arrangement,,,2011,,,,not available,,,,,2600000,,,5.5,,300,,Apartment,
6921 Vico Morcote,Data da convenire,,,2011,,,,non disponibile,,,,,2'600'000,,,5.5,,300,,Appartamento,
6921 Vico Morcote,Immédiate,True,3408,1965,,,True,Non disponible,3408,1141,,True,2'400'000,3125,95,5.5,3159,170,,Villa,
6921 Vico Morcote,By arrangement,,,not available,,,,not available,,,,,600000,,,2.5,,70,,Apartment,
6921 Vico Morcote,Data da convenire,,,non disponibile,,,,non disponibile,,,,,600'000,,,2.5,,70,,Appartamento,
6921 Vico Morcote,01.10.2022,,,not available,,,,not available,,,,,2590000,,,6,,320,,Apartment,
6921 Vico Morcote,À convenir,,,Non disponible,,,,Non disponible,,,True,True,800'000,,,2.5,,70,,Appartement,
